player_id,session_duration,movement_events,deaths,menu_opens,menu_time,time_since_last_death,churn_label
synthetic_0,72.43,58,2,1,6.8,37.3,0
synthetic_1,15.07,14,3,2,19.4,10.79,1
synthetic_2,106.91,60,0,2,7.9,68.0,0
synthetic_3,89.76,53,0,1,0.0,38.21,0
synthetic_4,35.49,2,3,1,23.27,18.73,1
synthetic_5,61.17,44,1,1,5.99,47.1,0
synthetic_6,73.04,42,1,2,6.29,24.97,0
synthetic_7,85.44,19,2,1,6.08,36.46,0
synthetic_8,38.67,13,2,1,5.05,0.0,0
synthetic_9,97.36,48,0,2,7.46,51.57,0
synthetic_10,49.43,11,5,1,38.94,6.19,1
synthetic_11,140.39,44,1,2,2.07,12.0,0
synthetic_12,94.6,53,1,1,2.79,21.75,0
synthetic_13,117.31,28,0,2,8.45,32.18,0
synthetic_14,22.97,18,10,2,25.73,3.06,1
synthetic_15,58.32,18,2,1,11.12,13.71,0
synthetic_16,87.95,43,2,2,3.46,46.59,1
synthetic_17,62.77,33,7,1,22.79,13.22,0
synthetic_18,95.29,34,0,2,0.0,29.22,0
synthetic_19,79.39,49,0,1,2.77,28.29,0
synthetic_20,55.91,40,0,1,3.35,46.77,0
synthetic_21,29.89,9,4,1,28.07,11.64,1
synthetic_22,84.25,76,0,2,3.04,8.14,1
synthetic_23,62.25,45,0,2,5.64,22.06,0
synthetic_24,112.96,32,2,1,4.72,32.3,0
synthetic_25,66.98,12,5,2,23.03,4.93,1
synthetic_26,116.8,43,2,2,0.0,61.47,0
synthetic_27,49.17,4,4,1,18.69,6.74,0
synthetic_28,68.99,13,4,2,38.77,0.08,1
synthetic_29,101.9,44,1,2,7.95,56.5,0
synthetic_30,106.86,67,3,2,2.75,29.99,0
synthetic_31,110.37,40,2,1,5.11,46.37,0
synthetic_32,47.3,21,3,1,20.26,18.63,1
synthetic_33,38.91,20,2,2,13.06,13.18,1
synthetic_34,109.91,59,2,2,5.74,30.92,0
synthetic_35,59.06,15,2,1,17.31,14.35,0
synthetic_36,69.74,16,2,1,0.0,11.31,1
synthetic_37,66.09,45,2,1,6.3,31.26,0
synthetic_38,71.16,27,7,2,42.57,11.4,1
synthetic_39,95.84,43,2,1,1.35,34.92,0
synthetic_40,43.89,11,5,1,36.64,14.45,1
synthetic_41,120.56,56,0,1,9.62,58.23,0
synthetic_42,66.44,44,1,1,4.0,48.29,0
synthetic_43,92.68,20,4,2,20.31,13.1,0
synthetic_44,94.55,40,2,2,8.55,62.93,0
synthetic_45,101.35,36,0,2,3.95,10.12,0
synthetic_46,45.52,20,1,2,10.85,0.0,0
synthetic_47,5.0,6,6,1,34.09,4.5,1
synthetic_48,92.21,52,3,1,0.0,45.4,0
synthetic_49,64.66,13,5,2,20.26,11.22,1
synthetic_50,32.42,36,3,2,23.33,4.47,0
synthetic_51,28.42,17,3,1,18.98,0.0,0
synthetic_52,51.15,44,1,2,4.13,0.0,0
synthetic_53,64.17,19,4,1,1.46,21.52,0
synthetic_54,136.04,50,3,2,3.89,39.34,0
synthetic_55,73.15,46,2,1,0.0,70.79,0
synthetic_56,123.54,32,1,2,2.55,12.19,0
synthetic_57,76.32,44,1,1,0.66,86.18,0
synthetic_58,25.1,21,9,2,16.4,19.0,1
synthetic_59,24.11,20,7,1,12.43,15.02,1
synthetic_60,78.6,32,3,1,2.71,52.52,0
synthetic_61,126.84,49,1,2,5.46,9.92,0
synthetic_62,96.51,32,2,1,4.53,26.35,0
synthetic_63,104.22,38,0,2,7.25,17.71,0
synthetic_64,89.65,48,1,1,1.14,51.02,0
synthetic_65,108.17,42,1,1,2.56,19.96,0
synthetic_66,126.58,45,1,1,6.75,33.75,0
synthetic_67,50.92,10,5,1,19.88,1.27,1
synthetic_68,51.25,15,1,2,13.67,11.17,1
synthetic_69,39.92,21,6,2,43.57,17.8,1
synthetic_70,59.89,3,2,1,18.28,6.0,1
synthetic_71,60.5,4,8,2,14.06,18.22,0
synthetic_72,73.63,49,2,2,1.02,36.73,0
synthetic_73,39.89,27,7,1,17.43,0.0,1
synthetic_74,37.85,7,4,1,34.71,2.79,1
synthetic_75,17.64,17,4,1,5.26,14.65,1
synthetic_76,28.88,13,4,2,27.95,1.81,1
synthetic_77,97.93,41,2,2,5.08,47.2,0
synthetic_78,93.55,32,0,1,0.0,53.84,0
synthetic_79,93.63,28,1,2,5.89,52.16,0
synthetic_80,93.2,25,1,1,4.31,31.44,0
synthetic_81,26.84,14,4,2,22.88,9.81,1
synthetic_82,97.8,18,2,2,7.65,34.46,1
synthetic_83,24.32,8,5,1,21.34,5.66,1
synthetic_84,38.9,22,6,1,14.23,11.66,1
synthetic_85,31.19,13,1,2,43.82,20.04,1
synthetic_86,83.31,19,1,1,0.0,63.97,0
synthetic_87,84.89,42,1,2,2.2,34.98,0
synthetic_88,65.23,15,2,1,17.56,4.99,0
synthetic_89,68.6,54,2,1,5.64,47.44,0
synthetic_90,32.01,9,4,2,24.99,0.73,1
synthetic_91,99.97,22,0,1,8.52,60.97,0
synthetic_92,50.06,14,3,1,16.67,13.82,0
synthetic_93,62.9,16,4,2,24.75,5.44,1
synthetic_94,50.47,7,3,2,38.84,13.74,0
synthetic_95,85.98,44,0,1,4.9,66.93,0
synthetic_96,73.6,17,4,2,19.36,3.38,1
synthetic_97,38.85,11,3,1,22.99,4.43,1
synthetic_98,38.64,6,1,1,22.44,0.0,1
synthetic_99,79.12,40,2,1,4.94,34.53,0
synthetic_100,91.27,49,3,1,3.75,67.75,0
synthetic_101,61.29,38,0,1,6.95,57.14,0
synthetic_102,52.23,16,7,1,34.05,7.64,1
synthetic_103,61.07,40,1,2,4.66,61.68,0
synthetic_104,97.97,53,1,2,0.0,21.95,0
synthetic_105,70.47,50,1,1,2.64,32.14,0
synthetic_106,48.42,8,3,2,31.02,5.98,1
synthetic_107,42.74,15,4,1,12.92,3.35,0
synthetic_108,75.17,19,5,2,28.43,17.15,1
synthetic_109,117.98,46,1,2,2.45,34.38,0
synthetic_110,126.19,39,1,1,2.77,23.02,0
synthetic_111,45.1,8,3,2,38.67,4.53,1
synthetic_112,48.91,18,4,1,16.02,18.33,1
synthetic_113,65.69,38,3,1,1.22,64.43,0
synthetic_114,17.87,21,6,2,19.85,0.0,1
synthetic_115,85.13,58,2,1,1.29,43.44,0
synthetic_116,76.39,36,0,1,2.2,15.39,1
synthetic_117,107.29,46,1,1,3.85,38.38,0
synthetic_118,32.12,14,5,1,27.62,16.51,1
synthetic_119,113.31,55,2,2,11.47,20.76,0
synthetic_120,99.3,64,1,2,5.57,47.05,0
